"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","id_please","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","private_place_guess","geoprivacy","coordinates_obscured","positioning_method","positioning_device","out_of_range","user_id","created_at","updated_at","quality_grade","license","oauth_application_id","captive_cultivated"
"Caretta caretta","2017-07-16 16:14:35 -0700","","",33.0968133863,-119.5306847265,"","Loggerhead Sea Turtle","https://www.inaturalist.org/observations/7194095","https://static.inaturalist.org/photos/9283928/medium.jpeg?1500953840","serpophaga",7194095,"Loggerhead Sea Turtle","Reptilia",39665,"false",1,0,"Sun Jul 16 2017 16:14:35 GMT-0700 (PDT)","2017-07-16","2017-07-16 23:14:35 UTC","Pacific Time (US & Canada)",10,"","","true","","","false",173183,"2017-07-24 21:57:17 UTC","2017-07-25 15:38:16 UTC","research","CC-BY-NC",3,"false"
"Caretta caretta","2017-07-16 15:53:23 -0700","","",33.0934193993,-119.4852774507,"","Loggerhead Sea Turtle","https://www.inaturalist.org/observations/7194093","https://static.inaturalist.org/photos/9283182/medium.jpeg?1500952009","serpophaga",7194093,"Loggerhead Sea Turtle","Reptilia",39665,"false",1,0,"Sun Jul 16 2017 15:53:23 GMT-0700 (PDT)","2017-07-16","2017-07-16 22:53:23 UTC","Pacific Time (US & Canada)",10,"","","true","","","false",173183,"2017-07-24 21:57:14 UTC","2017-07-25 15:37:29 UTC","research","CC-BY-NC",3,"false"
"Caretta caretta","2017-07-22 17:15:50 +0300","Found tangled in plastic sac. 
Bathers on the beach cut it loose and passed on to lifeguard for safe release back into the water. ","Israel",32.1435497666,34.7910087694,"","Loggerhead Sea Turtle","https://www.inaturalist.org/observations/7171926","https://static.inaturalist.org/photos/9242172/medium.jpg?1500819728","adish",7171926,"","Reptilia",39665,"false",0,0,"Sat Jul 22 2017 17:15:50 GMT+0300 (GMT+3)","2017-07-22","2017-07-22 14:15:50 UTC","Baghdad",97,"Mediterranean Sea, Tel Aviv-Yafo, Tel Aviv, IL","","true","","","false",51495,"2017-07-23 14:22:06 UTC","2017-07-23 14:22:10 UTC","needs_id","CC-BY-NC",3,"false"
"Caretta caretta","2017-06-08 22:03:37 -0400","","South Carolina, US",32.4178665637,-80.165368454,"","Loggerhead Sea Turtle","https://www.inaturalist.org/observations/7143533","https://static.inaturalist.org/photos/9197780/medium.jpg?1500649120","deannotoole",7143533,"Loggerhead Sea Turtle","Reptilia",39665,"false",1,0,"Thu Jun 08 2017 22:03:37 GMT-0400 (EDT)","2017-06-08","2017-06-09 02:03:37 UTC","Eastern Time (US & Canada)",NA,"Johns Island, Seabrook Island, SC, US","","true","","","false",427718,"2017-07-21 14:58:09 UTC","2017-07-29 22:42:49 UTC","research","",3,"false"
"Caretta caretta","2017-07-16 16:14:00 -0700","","",33.1280674077,-119.4506298741,"","Loggerhead Sea Turtle","https://www.inaturalist.org/observations/7138050","https://static.inaturalist.org/photos/9188502/medium.jpeg?1500598670","kliewer",7138050,"Loggerhead Sea Turtle","Reptilia",39665,"false",0,0,"2017/07/16 4:14 PM PDT","2017-07-16","2017-07-16 23:14:00 UTC","Pacific Time (US & Canada)",NA,"South of San Nicolas Island, CA","","true","","","false",222263,"2017-07-21 00:50:32 UTC","2017-07-21 00:57:47 UTC","needs_id","CC-BY-NC",NA,"false"
"Caretta caretta","2017-07-18 10:24:21 -0400","","Charleston County, US-SC, US",32.9728788035,-79.494853097,"","Loggerhead Sea Turtle","https://www.inaturalist.org/observations/7116746","https://static.inaturalist.org/photos/9153566/medium.jpeg?1500476532","luna101",7116746,"Loggerhead Sea Turtle","Reptilia",39665,"false",1,0,"2017-07-18 10:24:21 AM EDT","2017-07-18","2017-07-18 14:24:21 UTC","Eastern Time (US & Canada)",4128,"South Carolina, US","","true","gps","gps","false",438183,"2017-07-19 15:01:28 UTC","2017-07-29 22:43:03 UTC","research","CC-BY-NC",2,"false"
"Caretta caretta","2017-07-16 06:44:07 -0400","","Florida, US",27.4645651371,-82.6726944657,"","Loggerhead Sea Turtle","https://www.inaturalist.org/observations/7073342","https://static.inaturalist.org/photos/9084102/medium.jpg?1500206760","mperdicas",7073342,"","Reptilia",39665,"false",0,0,"Sun Jul 16 2017 06:44:07 GMT-0400 (EDT)","2017-07-16","2017-07-16 10:44:07 UTC","Eastern Time (US & Canada)",NA,"Gulf of Mexico, , FL, US","","true","","","false",4873,"2017-07-16 12:05:33 UTC","2017-07-16 12:19:31 UTC","needs_id","CC-BY",3,"false"
"Caretta caretta","2017-07-13 13:12:55 -0400","Found dead. It was necropsied by Mass Audubon at Wellfleet Bay Wildlife Sanctuary ","Massachusetts, US",41.7055041984,-70.5810569485,"","Loggerhead Sea Turtle","https://www.inaturalist.org/observations/7040098","https://static.inaturalist.org/photos/9032482/medium.jpg?1499975335","nicolegallup",7040098,"Loggerhead Sea Turtle","Reptilia",39665,"false",1,0,"Thu Jul 13 2017 13:12:55 GMT-0400 (EDT)","2017-07-13","2017-07-13 17:12:55 UTC","Eastern Time (US & Canada)",102,"Canal Service Rd, Bourne, MA, US","","true","","","false",255172,"2017-07-13 19:48:47 UTC","2017-07-13 23:00:14 UTC","research","CC-BY-NC",3,"false"
"Caretta caretta","2017-07-10 15:21:00 -0500","large- approx 4 ft long","Texas, US",27.8621676742,-97.1703993044,"","Loggerhead Sea Turtle","https://www.inaturalist.org/observations/7008322","https://static.inaturalist.org/photos/8981783/medium.jpeg?1499742773","mako252",7008322,"Loggerhead Sea Turtle","Reptilia",39665,"false",2,0,"2017/07/10 3:21 PM CDT","2017-07-10","2017-07-10 20:21:00 UTC","Central Time (US & Canada)",4619,"Port Aransas, TX, USA","","true","","","false",18812,"2017-07-11 03:14:28 UTC","2017-07-18 23:44:08 UTC","research","CC-BY-NC",NA,"false"
"Caretta caretta","2016-07-05 20:15:30 -0400","","Georgia, US",31.6004361213,-81.0227179224,"","Loggerhead Sea Turtle","https://www.inaturalist.org/observations/6914186","https://static.inaturalist.org/photos/8828040/medium.jpg?1499167408","howick",6914186,"Loggerhead Sea Turtle","Reptilia",39665,"false",1,0,"Tue Jul 05 2016 20:15:30 GMT-0400 (EDT)","2016-07-05","2016-07-06 00:15:30 UTC","Eastern Time (US & Canada)",NA,"Atlantic Ocean, , GA, US","","true","","","false",340709,"2017-07-04 11:23:24 UTC","2017-07-05 01:03:40 UTC","research","",3,"false"
